folder,file,ext,kategorie,bytes,geaendert
Alte Texte/Carl von Kraus,OVB (1).txt,.txt,text,18270,2011-07-30
Alte Texte/Carl von Kraus,PUL (1).txt,.txt,text,7023,2011-07-30
Alte Texte/Carl von Kraus,RDJ (1).txt,.txt,text,788,2011-07-30
Alte Texte/Carl von Kraus,RDS (1).txt,.txt,text,6012,2011-07-30
Alte Texte/Carl von Kraus,RDV (1).txt,.txt,text,5807,2011-07-30
Alte Texte/Carl von Kraus,RUB (1).txt,.txt,text,38873,2011-07-30
Alte Texte/Carl von Kraus,RUR (1).txt,.txt,text,566,2011-07-30
Alte Texte/Carl von Kraus,RVB (1).txt,.txt,text,18160,2011-07-30
Alte Texte/Carl von Kraus,RVR (1).txt,.txt,text,63785,2011-07-31
Alte Texte/Carl von Kraus,scans 2 grave von anhalte0001.tif,.tif,scan,1147994,2010-12-23
Alte Texte/Carl von Kraus,SJT (1).txt,.txt,text,9543,2011-07-31
Alte Texte/Carl von Kraus,STA (1).txt,.txt,text,5771,2011-07-31
Alte Texte/Carl von Kraus,SVE(1).txt,.txt,text,12216,2011-07-31
Alte Texte/Carl von Kraus,SVL (1).txt,.txt,text,11370,2011-07-31
Alte Texte/Carl von Kraus,TUS (1).txt,.txt,text,18344,2011-07-31
Alte Texte/Carl von Kraus,UVL (1).txt,.txt,text,129635,2011-08-01
Alte Texte/Carl von Kraus,UVW (1).txt,.txt,text,93640,2011-08-01
Alte Texte/Carl von Kraus,UWL (1).txt,.txt,text,37895,2011-08-01
Alte Texte/Carl von Kraus,VBU (1).txt,.txt,text,4808,2011-08-01
Alte Texte/Carl von Kraus,VDK (1).txt,.txt,text,10988,2011-08-01
Alte Texte/Carl von Kraus,VOB (1).txt,.txt,text,9990,2011-08-01
Alte Texte/Carl von Kraus,VSA (1).txt,.txt,text,10054,2011-08-01
Alte Texte/Carl von Kraus,VSB (1).txt,.txt,text,4112,2011-08-01
Alte Texte/Carl von Kraus,VST (1).txt,.txt,text,3457,2011-08-01
Alte Texte/Carl von Kraus,VSU (1).txt,.txt,text,3570,2011-08-01
Alte Texte/Carl von Kraus,VWI (1).txt,.txt,text,4526,2011-08-01
Alte Texte/Carl von Kraus,wilder alex0001.ashx,.ashx,text,56984,2010-12-23
Alte Texte/Carl von Kraus,wilder alex0002.ashx,.ashx,text,167274,2010-12-23
Alte Texte/Carl von Kraus,wilder alex0003.ashx,.ashx,text,84018,2010-12-23
Alte Texte/Carl von Kraus,wilder alex0004.ashx,.ashx,text,71282,2010-12-23
Alte Texte/Carl von Kraus,wilder alex0005.ashx,.ashx,text,79630,2010-12-23
Alte Texte/Carl von Kraus,wilder alex0006.ashx,.ashx,text,79371,2010-12-23
Alte Texte/Carl von Kraus,wilder alex0007.ashx,.ashx,text,59318,2010-12-23
Alte Texte/Carl von Kraus,wilder alex0008.ashx,.ashx,text,124946,2010-12-23
