conceptId,prefLabelDe,prefLabelEn,altLabelDe,altLabelEn,broaderConcepts
23230000,Waffenhandwerk,Arms craft,,Weaponry,23200000
23231000,Waffen,Weapons,,Arms,23230000
23231100,Waffen/Namen,Weapons/Names,,,23231000
23231200,Kampftechnik/Waffentechnik,Fighting technique/Weapon skills,,,"23230000,23240000"
23232000,Rüstung,Armor,,Armour,23230000
23233000,Rüstung/Namen,Armor/Names,,,23230000
23240000,Kriegswesen/Kampf/Gewalt,Warfare/Battle/Violence,,,23200000
23241000,Kriegswesen/Kampf/Namen,Warfare/Fighting/Names,,,23240000
23242000,Heerfahrt,Military expedition,Kampagne,Military campaign,23240000
23243000,Schlacht,Battle,Kampf,Fight,23240000
23244000,Aventiure,Adventure/Quest,Abenteuer,,23240000
23245000,Belagerung,Siege,,,23240000
23246000,Zweikampf,Duel,Duell,,"23240000,23260000"
23250000,Burg,Castle,Befestigung,Fort,"23200000,23309020"
23251000,Burg/Äußeres,Castle/Exterior,Feste/Äußeres,Fort/Exterior,23250000
23252000,Burg/Inneres,Castle/Interior,Befestigung/Inneres,Fortress/Interior,23250000
23253000,Burg/Namen,Castle/Names,,,23250000
23254000,Fantastische Burg/Namen,Fantastic Castle/Names,,,23250000
23260000,Turnierwesen,Tournament,Kampfspiel,Tourney,23200000
23261000,Turnier/Organisation,Tournament/Organization,,Tournament/Organisation,23260000
23262000,Turnier/Schauplatz,Tournament/Location,,,23260000
23263000,Turnier/Kampfformen,Tournament/Forms of combat,Turnier/Kampfereignisse,Tournament/Fighting events,23260000
23264000,Turnier/Rituale,Tournament/Rituals,,,23260000
23300000,Welt der Arbeit im Allgemeinen,Work in general,Arbeitswelt im Allgemeinen,Labor in general,23000000
23302000,Jagd/Fischerei,Hunting/Fishing,,Hunt/Fishery,23300000
23302200,Jagd/Fischerei/Ausrüstung,Hunting/Fishing/Gear,Jagd/Fischerei/Geräte,Hunting/Fishing/Weapons,23302000
23302300,Jagd/Fischerei/Gebräuche/Rituale,Hunting/Fishing/Customs/Rituals,Jagd/Fischerei/Bräuche,Hunt/Fishery/Customs/Rituals,23302000
23302500,Fischzucht,Fish farming,,Fish breeding,23302000
23303000,Landwirtschaft,Farming,,Husbandry,23300000
23303010,Landwirtschaft/Namen,Farming and Husbandry/Names,,,23303000
23303100,Bauernhof,Farm,Gutshof,Grange,"23303000,23309020"
23303110,Viehzucht/Viehhaltung,Stock farming,,"
Livestock breeding","14012000,23303100"
23303120,Milchwirtschaft,Dairy farming,,,23303100
23303140,Gehöft/Namen,Farmstead/Names,,,23303100
23303200,Ackerbau,Agriculture,,Cultivation,23303000
23303300,Feldarbeit,Tillage,,,"23303000,23303200"
23303310,Landwirtschaftliches Gerät,Farm gear,,Agricultural equipment,"23303300,23304100"
23303320,Wiesenwirtschaft,Agricultural meadows,,Grassland,23303300
23303330,Getreideanbau,Grain farming,,Cereal growing,"13040000,23303300"
23303340,Ernte,Harvest,Ernten,Harvesting,23303300
23303350,Verarbeitung von Getreide,Processing of grain,Getreideverarbeitung,Grain processing,"13040000,23303300,23305400"
23303360,Ölproduktion,Oil production,,,"23303300,23305400"
23303400,Weidewirtschaft,Managed pasture,,Pasturage,23303000
23303500,Imkerei,Beekeeping,,Apiculture,23303000
23303600,Weinbau/Weinherstellung,Winegrowing/Winemaking,,Viticulture/Vinification,23303000
23303610,Weine/Namen,Wines/Names,,,23303600
23303700,Obstbau,Fruit growing,,Orchard,23303000
23303800,Gartenbau,Horticulture,,Gardening,23303000
23303900,Waldwirtschaft,Forestry,Waldbau,Silviculture,"13020000,23303000"
23304000,Beruf,Profession,Handwerk,Craft,23300000
23304100,Handarbeit/Werkzeuge/Ausrüstung,Manual work/Tools/Equipment,Handarbeit/Utensilien,Manual work/Utensils,23304000
23304200,Spezifische Berufe,Specific professions,Spezifisches Handwerk,Individual professions,23304000
23304300,Gefäße,Vessels,Büchse,Cup,23304000
23305000,Industrie,Industry,,,23300000
23305200,Bergbau,Mining,,,23305000
23305300,Metallverarbeitung,Metal processing,,,23305000
23305310,Eisenverarbeitung,Iron processing,,,23305300
23305320,Gießerei,Foundry,,,23305300
23305330,Münzen,Coins,Prägung,Minting,23305300
23305400,Lebensmittelherstellung,Food processing,Nahrungsmittelherstellung,,23305000
23305410,Verarbeitung von Fleisch,Meat processing,Fleischverarbeitung,,"14011300,21111301,23305000"
